PANTONENAME,UNIQUECODE,R,G,B
PANTONE 405 C,11410,104,98,89
PANTONE 4050 C,11411,216,172,150
PANTONE 4051 C,11412,222,137,121
PANTONE 4052 C,11413,216,136,120
PANTONE 4053 C,11414,206,125,107
PANTONE 4054 C,11415,168,84,62
PANTONE 4055 C,11416,165,85,71
PANTONE 4056 C,11417,132,80,71
PANTONE 4057 C,11418,225,103,93
PANTONE 4058 C,11419,228,76,86
PANTONE 4059 C,11420,194,49,66
PANTONE 406 C,11421,196,189,185
PANTONE 4060 C,11422,189,56,67
PANTONE 4061 C,11423,188,100,96
PANTONE 4062 C,11424,166,69,70
PANTONE 4063 C,11425,154,66,53
PANTONE 4064 C,11426,233,179,186
PANTONE 4065 C,11427,226,174,177
PANTONE 4066 C,11428,232,160,155
PANTONE 4067 C,11429,231,160,159
PANTONE 4068 C,11430,229,145,148
PANTONE 4069 C,11431,199,81,97
PANTONE 407 C,11432,176,166,161
PANTONE 4070 C,11433,179,60,81
PANTONE 4071 C,11434,206,138,159
PANTONE 4072 C,11435,223,124,155
PANTONE 4073 C,11436,199,72,115
PANTONE 4074 C,11437,125,28,75
PANTONE 4075 C,11438,129,54,81
PANTONE 4076 C,11439,129,67,90
PANTONE 4077 C,11440,130,71,86
PANTONE 4078 C,11441,229,194,214
PANTONE 4079 C,11442,205,169,196
PANTONE 408 C,11443,150,140,135
PANTONE 4080 C,11444,206,175,204
PANTONE 4081 C,11445,174,143,169
PANTONE 4082 C,11446,165,101,143
PANTONE 4083 C,11447,134,91,147
PANTONE 4084 C,11448,110,61,97
PANTONE 4085 C,11449,199,185,175
PANTONE 4086 C,11450,187,166,168
PANTONE 4087 C,11451,181,158,151
PANTONE 4088 C,11452,166,138,129
PANTONE 4089 C,11453,161,140,136
PANTONE 409 C,11454,133,122,117
PANTONE 4090 C,11455,143,115,105
PANTONE 4091 C,11456,122,95,94
PANTONE 4092 C,11457,201,168,181
PANTONE 4093 C,11458,174,145,149
PANTONE 4094 C,11459,145,105,119
PANTONE 4095 C,11460,136,91,107
PANTONE 4096 C,11461,119,74,78
PANTONE 4097 C,11462,114,77,81
PANTONE 4098 C,11463,101,70,62
PANTONE 4099 C,11464,170,132,132
PANTONE 410 C,11465,117,103,100
PANTONE 4100 C,11466,125,79,80
PANTONE 4101 C,11467,98,36,41
PANTONE 4102 C,11468,85,29,37
PANTONE 4103 C,11469,80,36,47
PANTONE 4104 C,11470,83,60,62
PANTONE 4105 C,11471,101,63,52
PANTONE 4106 C,11472,196,170,179
PANTONE 4107 C,11473,170,145,164
PANTONE 4108 C,11474,163,134,151
PANTONE 4109 C,11475,158,121,139
PANTONE 411 C,11476,93,82,77
PANTONE 4110 C,11477,139,111,130
PANTONE 4111 C,11478,125,88,108
PANTONE 4112 C,11479,138,109,115
PANTONE 4113 C,11480,162,142,146
PANTONE 4114 C,11481,155,141,147
PANTONE 4115 C,11482,146,127,130
PANTONE 4116 C,11483,152,132,132
PANTONE 4117 C,11484,113,100,117
PANTONE 4118 C,11485,68,58,78
PANTONE 4119 C,11486,62,57,68
PANTONE 412 C,11487,56,49,48
PANTONE 4120 C,11488,183,171,210
PANTONE 4121 C,11489,154,141,183
PANTONE 4122 C,11490,119,108,178
PANTONE 4123 C,11491,165,168,188
PANTONE 4124 C,11492,143,146,177
PANTONE 4125 C,11493,93,92,119
PANTONE 4126 C,11494,79,64,100
PANTONE 4127 C,11495,125,128,150
PANTONE 4128 C,11496,108,114,132
PANTONE 4129 C,11497,103,112,128
PANTONE 413 C,11498,184,189,180
PANTONE 4130 C,11499,81,90,109
PANTONE 4131 C,11500,70,75,92
PANTONE 4132 C,11501,58,58,74
PANTONE 4133 C,11502,58,59,71
PANTONE 4134 C,11503,160,163,176
PANTONE 4135 C,11504,120,133,156
PANTONE 4136 C,11505,97,111,129
PANTONE 4137 C,11506,71,95,119
PANTONE 4138 C,11507,75,97,115
PANTONE 4139 C,11508,77,91,109
PANTONE 414 C,11509,166,170,159
PANTONE 4140 C,11510,54,60,71
PANTONE 4141 C,11511,70,99,162
PANTONE 4142 C,11512,60,79,129
PANTONE 4143 C,11513,65,84,111
PANTONE 4144 C,11514,57,59,92
PANTONE 4145 C,11515,47,51,79
PANTONE 4146 C,11516,26,30,55
PANTONE 4147 C,11517,38,34,66
PANTONE 4148 C,11518,96,150,177
PANTONE 4149 C,11519,137,170,198
PANTONE 415 C,11520,145,149,136
PANTONE 4150 C,11521,79,125,185
PANTONE 4151 C,11522,0,104,175
PANTONE 4152 C,11523,11,82,149
PANTONE 4153 C,11524,22,77,137
PANTONE 4154 C,11525,11,66,118
PANTONE 4155 C,11526,186,201,206
PANTONE 4156 C,11527,151,192,204
PANTONE 4157 C,11528,100,174,195
PANTONE 4158 C,11529,52,126,150
PANTONE 4159 C,11530,0,86,131
PANTONE 416 C,11531,125,128,116
PANTONE 4160 C,11532,1,73,96
PANTONE 4161 C,11533,46,75,89
PANTONE 4162 C,11534,167,211,197
PANTONE 4163 C,11535,142,202,185
PANTONE 4164 C,11536,21,128,116
PANTONE 4165 C,11537,27,106,97
PANTONE 4166 C,11538,63,119,115
PANTONE 4167 C,11539,47,101,94
PANTONE 4168 C,11540,33,70,69
PANTONE 4169 C,11541,180,200,193
PANTONE 417 C,11542,99,103,93
PANTONE 4170 C,11543,163,190,188
PANTONE 4171 C,11544,155,185,184
PANTONE 4172 C,11545,129,178,171
PANTONE 4173 C,11546,130,197,193
PANTONE 4174 C,11547,130,194,194
PANTONE 4175 C,11548,145,187,195
PANTONE 4176 C,11549,197,207,194
PANTONE 4177 C,11550,184,189,174
PANTONE 4178 C,11551,166,174,153
PANTONE 4179 C,11552,149,166,129
PANTONE 418 C,11553,82,83,74
PANTONE 4180 C,11554,142,154,128
PANTONE 4181 C,11555,114,135,113
PANTONE 4182 C,11556,105,121,102
PANTONE 4183 C,11557,183,193,182
PANTONE 4184 C,11558,153,170,158
PANTONE 4185 C,11559,135,164,155
PANTONE 4186 C,11560,103,142,137
PANTONE 4187 C,11561,101,124,122
PANTONE 4188 C,11562,64,92,91
PANTONE 4189 C,11563,26,75,83
PANTONE 419 C,11564,31,34,33
PANTONE 4190 C,11565,167,180,165
PANTONE 4191 C,11566,146,165,156
PANTONE 4192 C,11567,131,149,135
PANTONE 4193 C,11568,96,104,91
PANTONE 4194 C,11569,85,100,98
PANTONE 4195 C,11570,99,102,103
PANTONE 4196 C,11571,68,85,90
PANTONE 4197 C,11572,138,157,145
PANTONE 4198 C,11573,105,126,114
PANTONE 4199 C,11574,88,106,95
PANTONE 420 C,11575,198,202,199
PANTONE 4200 C,11576,89,108,99
PANTONE 4201 C,11577,79,105,94
PANTONE 4202 C,11578,56,78,71
PANTONE 4203 C,11579,43,72,64
PANTONE 4204 C,11580,191,210,169
PANTONE 4205 C,11581,166,193,135
PANTONE 4206 C,11582,142,175,130
PANTONE 4207 C,11583,123,162,121
PANTONE 4208 C,11584,59,112,84
PANTONE 4209 C,11585,56,89,77
PANTONE 421 C,11586,176,180,177
PANTONE 4210 C,11587,47,80,68
PANTONE 4211 C,11588,207,218,150
PANTONE 4212 C,11589,134,172,65
PANTONE 4213 C,11590,104,143,53
PANTONE 4214 C,11591,91,122,86
PANTONE 4215 C,11592,81,112,64
PANTONE 4216 C,11593,60,87,36
PANTONE 4217 C,11594,73,94,35
PANTONE 4218 C,11595,174,182,159
PANTONE 4219 C,11596,164,171,152
PANTONE 422 C,11597,155,162,164
PANTONE 4220 C,11598,135,139,121
PANTONE 4221 C,11599,123,126,98
PANTONE 4222 C,11600,115,118,99
PANTONE 4223 C,11601,97,104,83
PANTONE 4224 C,11602,62,74,56
PANTONE 4225 C,11603,139,131,113
PANTONE 4226 C,11604,132,130,103
PANTONE 4227 C,11605,105,105,82
PANTONE 4228 C,11606,88,85,62
PANTONE 4229 C,11607,92,93,75
PANTONE 423 C,11608,134,141,143
PANTONE 4230 C,11609,89,84,77
PANTONE 4231 C,11610,99,94,80
PANTONE 4232 C,11611,209,206,9
PANTONE 4233 C,11612,191,190,8
PANTONE 4234 C,11613,186,193,92
PANTONE 4235 C,11614,175,177,126
PANTONE 4236 C,11615,192,191,109
PANTONE 4237 C,11616,171,165,99
PANTONE 4238 C,11617,140,139,83
PANTONE 4239 C,11618,199,196,179
PANTONE 424 C,11619,112,114,114
PANTONE 4240 C,11620,200,189,164
PANTONE 4241 C,11621,186,172,137
PANTONE 4242 C,11622,135,120,80
PANTONE 4243 C,11623,131,107,80
PANTONE 4244 C,11624,125,106,81
PANTONE 4245 C,11625,91,81,65
PANTONE 4246 C,11626,202,196,169
PANTONE 4247 C,11627,209,193,170
PANTONE 4248 C,11628,213,196,169
PANTONE 4249 C,11629,194,173,140
PANTONE 425 C,11630,81,89,89
PANTONE 4250 C,11631,186,169,137
PANTONE 4251 C,11632,183,163,122
PANTONE 4252 C,11633,182,163,133
PANTONE 4253 C,11634,185,165,141
PANTONE 4254 C,11635,189,153,114
PANTONE 4255 C,11636,172,152,120
PANTONE 4256 C,11637,170,145,115
PANTONE 4257 C,11638,146,125,110
PANTONE 4258 C,11639,109,93,89
PANTONE 4259 C,11640,47,41,35
PANTONE 426 C,11641,37,40,43
PANTONE 4260 C,11642,205,169,146
PANTONE 4261 C,11643,158,111,71
PANTONE 4262 C,11644,167,114,79
PANTONE 4263 C,11645,172,111,76
PANTONE 4264 C,11646,172,115,85
PANTONE 4265 C,11647,154,100,74
PANTONE 4266 C,11648,155,96,60
PANTONE 4267 C,11649,192,176,163
PANTONE 4268 C,11650,178,160,142
PANTONE 4269 C,11651,169,146,120
PANTONE 427 C,11652,206,210,213
PANTONE 4270 C,11653,149,135,113
PANTONE 4271 C,11654,142,123,108
PANTONE 4272 C,11655,127,107,97
PANTONE 4273 C,11656,79,71,70
PANTONE 4274 C,11657,176,183,187
PANTONE 4275 C,11658,171,175,172
PANTONE 4276 C,11659,156,158,161
PANTONE 4277 C,11660,141,138,145
PANTONE 4278 C,11661,126,126,132
PANTONE 4279 C,11662,90,83,88
PANTONE 428 C,11663,192,200,204
PANTONE 4280 C,11664,36,42,55
PANTONE 4281 C,11665,176,176,176
PANTONE 4282 C,11666,173,170,171
PANTONE 4283 C,11667,167,162,163
PANTONE 4284 C,11668,113,107,117
PANTONE 4285 C,11669,104,97,106
PANTONE 4286 C,11670,93,84,94
PANTONE 4287 C,11671,69,65,66
PANTONE 4288 C,11672,182,190,182
PANTONE 4289 C,11673,152,152,152
PANTONE 429 C,11674,161,170,174
PANTONE 4290 C,11675,143,138,139
PANTONE 4291 C,11676,115,110,110
PANTONE 4292 C,11677,114,110,113
PANTONE 4293 C,11678,99,92,101
PANTONE 4294 C,11679,84,81,86
PANTONE 430 C,11680,125,136,144
PANTONE 431 C,11681,90,104,113
PANTONE 432 C,11682,49,64,74
PANTONE 433 C,11683,27,37,47
PANTONE 434 C,11684,206,196,198
PANTONE 435 C,11685,191,179,182
PANTONE 436 C,11686,170,153,158
PANTONE 437 C,11687,123,101,107
PANTONE 438 C,11688,88,68,70
PANTONE 439 C,11689,68,53,54
PANTONE 440 C,11690,56,46,46
PANTONE 441 C,11691,188,198,195
PANTONE 442 C,11692,163,173,173
PANTONE 443 C,11693,146,157,158
PANTONE 444 C,11694,110,124,126
PANTONE 445 C,11695,78,86,89
PANTONE 446 C,11696,61,68,66
PANTONE 447 C,11697,54,58,55
PANTONE 448 C,11698,74,65,43
PANTONE 4485 C,11699,95,77,38
PANTONE 449 C,11700,81,69,41
PANTONE 4495 C,11701,138,120,50
PANTONE 450 C,11702,90,76,37
PANTONE 4505 C,11703,151,132,68
PANTONE 451 C,11704,155,148,97
PANTONE 4515 C,11705,179,165,107
PANTONE 452 C,11706,175,169,126
PANTONE 4525 C,11707,199,184,133
PANTONE 453 C,11708,187,186,151
PANTONE 4535 C,11709,205,196,149
PANTONE 454 C,11710,201,200,170
PANTONE 4545 C,11711,213,204,160
PANTONE 455 C,11712,104,91,37
PANTONE 456 C,11713,159,141,43
PANTONE 457 C,11714,184,158,31
PANTONE 458 C,11715,217,198,89
PANTONE 459 C,11716,220,205,100
PANTONE 460 C,11717,228,217,128
PANTONE 461 C,11718,230,222,151
PANTONE 462 C,11719,94,70,46
PANTONE 4625 C,11720,79,43,28
PANTONE 463 C,11721,114,79,40
PANTONE 4635 C,11722,149,96,56
PANTONE 464 C,11723,138,90,43
PANTONE 4645 C,11724,170,123,91
PANTONE 465 C,11725,185,152,93
PANTONE 4655 C,11726,190,149,119
PANTONE 466 C,11727,197,170,119
PANTONE 4665 C,11728,203,166,136
PANTONE 467 C,11729,209,187,140
PANTONE 4675 C,11730,218,190,168
PANTONE 468 C,11731,218,202,163
PANTONE 4685 C,11732,224,199,174
PANTONE 469 C,11733,103,63,34
PANTONE 4695 C,11734,89,51,41
PANTONE 470 C,11735,165,91,44
PANTONE 4705 C,11736,124,77,60
PANTONE 471 C,11737,181,98,39
PANTONE 4715 C,11738,149,106,87
PANTONE 472 C,11739,227,157,109
PANTONE 4725 C,11740,175,139,121
PANTONE 473 C,11741,239,191,155
PANTONE 4735 C,11742,191,162,147
PANTONE 474 C,11743,239,198,168
PANTONE 4745 C,11744,201,180,167
PANTONE 475 C,11745,242,209,180
PANTONE 4755 C,11746,213,195,182
PANTONE 476 C,11747,78,53,42
PANTONE 477 C,11748,95,59,43
PANTONE 478 C,11749,112,65,42
PANTONE 479 C,11750,169,127,101
PANTONE 480 C,11751,194,169,147
PANTONE 481 C,11752,211,189,171
PANTONE 482 C,11753,220,200,184
PANTONE 483 C,11754,100,48,38
PANTONE 484 C,11755,153,50,37
PANTONE 485 C,11756,216,40,27
PANTONE 486 C,11757,230,146,123
PANTONE 487 C,11758,235,168,151
PANTONE 488 C,11759,235,187,171
PANTONE 489 C,11760,233,196,178
PANTONE 490 C,11761,91,42,43
PANTONE 491 C,11762,126,49,54
PANTONE 492 C,11763,142,50,55
PANTONE 493 C,11764,221,134,155
PANTONE 494 C,11765,232,163,178
PANTONE 495 C,11766,241,191,203
PANTONE 496 C,11767,240,199,206
PANTONE 497 C,11768,81,48,46
PANTONE 4975 C,11769,63,33,35
PANTONE 498 C,11770,104,57,53
PANTONE 4985 C,11771,136,77,83
PANTONE 499 C,11772,121,62,58
PANTONE 4995 C,11773,154,98,107
PANTONE 500 C,11774,198,135,147
PANTONE 5005 C,11775,175,126,132
PANTONE 501 C,11776,218,165,175
PANTONE 5015 C,11777,204,163,169
PANTONE 502 C,11778,230,187,195
PANTONE 5025 C,11779,220,184,188
PANTONE 503 C,11780,233,198,200
PANTONE 5035 C,11781,222,195,196
PANTONE 504 C,11782,88,43,52
PANTONE 505 C,11783,111,46,65
PANTONE 506 C,11784,130,53,80
PANTONE 507 C,11785,212,147,172
PANTONE 508 C,11786,226,169,188
PANTONE 509 C,11787,230,179,196
PANTONE 510 C,11788,233,189,204
PANTONE 511 C,11789,98,45,81
PANTONE 5115 C,11790,78,43,69
PANTONE 512 C,11791,131,50,122
PANTONE 5125 C,11792,103,61,95
PANTONE 513 C,11793,147,52,144
PANTONE 5135 C,11794,124,84,115
PANTONE 514 C,11795,211,139,200
PANTONE 5145 C,11796,154,118,147
PANTONE 515 C,11797,227,174,217
PANTONE 5155 C,11798,189,164,182
PANTONE 516 C,11799,229,189,222
PANTONE 5165 C,11800,210,194,208
PANTONE 517 C,11801,234,199,225
PANTONE 5175 C,11802,215,200,210
PANTONE 518 C,11803,75,48,74
PANTONE 5185 C,11804,73,50,66
PANTONE 519 C,11805,88,49,95
PANTONE 5195 C,11806,101,67,91
PANTONE 520 C,11807,99,48,109
PANTONE 5205 C,11808,132,99,123
PANTONE 521 C,11809,164,126,178
PANTONE 5215 C,11810,171,149,166
PANTONE 522 C,11811,185,156,199
PANTONE 5225 C,11812,196,176,190
PANTONE 523 C,11813,199,178,209
PANTONE 5235 C,11814,208,191,200
PANTONE 524 C,11815,214,195,218
PANTONE 5245 C,11816,217,203,211
PANTONE 525 C,11817,86,46,97
PANTONE 5255 C,11818,29,27,53
PANTONE 526 C,11819,111,47,138
PANTONE 5265 C,11820,63,57,95
PANTONE 527 C,11821,128,51,168
PANTONE 5275 C,11822,87,84,119
PANTONE 528 C,11823,179,127,210
PANTONE 5285 C,11824,140,137,166
PANTONE 529 C,11825,200,163,223
PANTONE 5295 C,11826,178,178,197
PANTONE 530 C,11827,214,186,230
PANTONE 5305 C,11828,197,197,211
PANTONE 531 C,11829,224,199,230
PANTONE 5315 C,11830,214,215,223
PANTONE 532 C,11831,27,32,42
PANTONE 533 C,11832,31,42,68
PANTONE 534 C,11833,24,54,93
PANTONE 535 C,11834,141,160,188
PANTONE 536 C,11835,162,178,202
PANTONE 537 C,11836,186,201,215
PANTONE 538 C,11837,196,209,220
PANTONE 539 C,11838,0,39,61
PANTONE 5395 C,11839,7,30,44
PANTONE 540 C,11840,0,49,87
PANTONE 5405 C,11841,79,117,140
PANTONE 541 C,11842,0,60,112
PANTONE 5415 C,11843,89,127,150
PANTONE 542 C,11844,122,176,213
PANTONE 5425 C,11845,120,152,172
PANTONE 543 C,11846,162,202,229
PANTONE 5435 C,11847,167,188,203
PANTONE 544 C,11848,188,214,232
PANTONE 5445 C,11849,180,202,213
PANTONE 545 C,11850,196,219,232
PANTONE 5455 C,11851,191,207,217
PANTONE 546 C,11852,5,42,50
PANTONE 5463 C,11853,6,40,45
PANTONE 5467 C,11854,23,51,47
PANTONE 547 C,11855,0,50,61
PANTONE 5473 C,11856,8,95,102
PANTONE 5477 C,11857,62,93,88
PANTONE 548 C,11858,0,61,78
PANTONE 5483 C,11859,75,133,142
PANTONE 5487 C,11860,94,122,119
PANTONE 549 C,11861,105,164,185
PANTONE 5493 C,11862,126,168,172
PANTONE 5497 C,11863,128,152,150
PANTONE 550 C,11864,140,184,201
PANTONE 5503 C,11865,149,183,189
PANTONE 5507 C,11866,155,176,173
PANTONE 551 C,11867,162,200,211
PANTONE 5513 C,11868,169,199,202
PANTONE 5517 C,11869,178,194,190
PANTONE 552 C,11870,184,212,221
PANTONE 5523 C,11871,183,209,209
PANTONE 5527 C,11872,186,202,198
PANTONE 553 C,11873,39,70,51
PANTONE 5535 C,11874,24,49,41
PANTONE 554 C,11875,27,93,67
PANTONE 5545 C,11876,65,105,93
PANTONE 555 C,11877,37,115,82
PANTONE 5555 C,11878,92,126,113
PANTONE 556 C,11879,108,161,135
PANTONE 5565 C,11880,123,157,146
PANTONE 557 C,11881,132,175,156
PANTONE 5575 C,11882,145,172,162
PANTONE 558 C,11883,153,191,172
PANTONE 5585 C,11884,167,190,179
PANTONE 559 C,11885,170,200,183
PANTONE 5595 C,11886,190,205,193
PANTONE 560 C,11887,29,61,53
PANTONE 5605 C,11888,34,55,44
PANTONE 561 C,11889,0,89,78
PANTONE 5615 C,11890,93,117,99
PANTONE 562 C,11891,0,113,100
PANTONE 5625 C,11892,110,132,114
PANTONE 563 C,11893,108,188,176
PANTONE 5635 C,11894,146,165,151
PANTONE 564 C,11895,131,201,188
PANTONE 5645 C,11896,161,178,164
PANTONE 565 C,11897,160,212,202
PANTONE 5655 C,11898,177,191,178
PANTONE 566 C,11899,183,220,212
PANTONE 5665 C,11900,184,196,183
PANTONE 567 C,11901,21,64,53
PANTONE 568 C,11902,0,107,93
PANTONE 569 C,11903,0,130,111
PANTONE 570 C,11904,105,202,185
PANTONE 571 C,11905,153,220,208
PANTONE 572 C,11906,163,225,213
PANTONE 573 C,11907,179,228,217
PANTONE 574 C,11908,77,92,48
PANTONE 5743 C,11909,62,72,40
PANTONE 5747 C,11910,62,69,31
PANTONE 575 C,11911,102,130,58
PANTONE 5753 C,11912,91,104,58
PANTONE 5757 C,11913,111,115,47
PANTONE 576 C,11914,121,158,76
PANTONE 5763 C,11915,115,123,77
PANTONE 5767 C,11916,138,144,76
PANTONE 577 C,11917,167,197,130
PANTONE 5773 C,11918,134,143,102
PANTONE 5777 C,11919,159,164,105
PANTONE 578 C,11920,183,206,152
PANTONE 5783 C,11921,161,170,133
PANTONE 5787 C,11922,183,188,140
PANTONE 579 C,11923,187,208,157
PANTONE 5793 C,11924,178,185,150
PANTONE 5797 C,11925,197,202,159
PANTONE 5803 C,11926,193,199,167
PANTONE 5807 C,11927,206,210,172
PANTONE 581 C,11928,98,93,33
PANTONE 5815 C,11929,84,81,35
PANTONE 582 C,11930,142,140,22
PANTONE 5825 C,11931,133,128,60
PANTONE 583 C,11932,183,192,21
PANTONE 5835 C,11933,161,154,89
PANTONE 584 C,11934,210,216,89
PANTONE 5845 C,11935,175,170,111
PANTONE 585 C,11936,220,223,115
PANTONE 5855 C,11937,190,187,134
PANTONE 586 C,11938,222,226,122
PANTONE 5865 C,11939,203,200,151
PANTONE 587 C,11940,226,228,141
PANTONE 5875 C,11941,208,206,158
PANTONE 600 C,11942,239,235,158
PANTONE 6001 C,11943,230,211,135
PANTONE 6002 C,11944,233,203,118
PANTONE 6003 C,11945,223,185,80
PANTONE 6004 C,11946,222,174,55
PANTONE 6005 C,11947,220,167,33
PANTONE 6006 C,11948,206,153,31
PANTONE 6007 C,11949,184,122,43
PANTONE 6008 C,11950,188,157,124
PANTONE 6009 C,11951,174,141,101
PANTONE 601 C,11952,236,232,145
PANTONE 6010 C,11953,162,127,86
PANTONE 6011 C,11954,156,119,73
PANTONE 6012 C,11955,134,96,50
PANTONE 6013 C,11956,120,80,40
PANTONE 6014 C,11957,103,81,46
PANTONE 6015 C,11958,238,180,138
PANTONE 6016 C,11959,245,157,99
PANTONE 6017 C,11960,249,146,75
PANTONE 6018 C,11961,245,131,52
PANTONE 6019 C,11962,236,107,15
PANTONE 602 C,11963,238,233,124
PANTONE 6020 C,11964,225,89,5
PANTONE 6021 C,11965,216,91,27
PANTONE 6022 C,11966,241,192,182
PANTONE 6023 C,11967,235,180,162
PANTONE 6024 C,11968,227,151,133
PANTONE 6025 C,11969,218,131,109
PANTONE 6026 C,11970,212,117,92
PANTONE 6027 C,11971,194,98,63
PANTONE 6028 C,11972,183,92,63
PANTONE 6029 C,11973,209,177,178
PANTONE 603 C,11974,235,223,78
PANTONE 6030 C,11975,197,159,155
PANTONE 6031 C,11976,183,143,135
PANTONE 6032 C,11977,176,131,122
PANTONE 6033 C,11978,168,120,107
PANTONE 6034 C,11979,160,108,92
PANTONE 6035 C,11980,148,95,78
PANTONE 6036 C,11981,188,143,154
PANTONE 6037 C,11982,172,120,128
PANTONE 6038 C,11983,160,102,112
PANTONE 6039 C,11984,148,86,94
PANTONE 604 C,11985,233,217,40
PANTONE 6040 C,11986,134,70,73
PANTONE 6041 C,11987,123,60,62
PANTONE 6042 C,11988,97,45,48
PANTONE 6043 C,11989,242,145,161
PANTONE 6044 C,11990,239,134,146
PANTONE 6045 C,11991,235,123,135
PANTONE 6046 C,11992,229,108,115
PANTONE 6047 C,11993,209,79,73
PANTONE 6048 C,11994,208,79,80
PANTONE 6049 C,11995,190,70,50
PANTONE 605 C,11996,226,204,4
PANTONE 6050 C,11997,250,168,209
PANTONE 6051 C,11998,250,133,175
PANTONE 6052 C,11999,232,113,151
PANTONE 6053 C,12000,246,96,139
PANTONE 6054 C,12001,220,86,130
PANTONE 6055 C,12002,209,68,104
PANTONE 6056 C,12003,201,59,91
PANTONE 6057 C,12004,210,95,165
PANTONE 6058 C,12005,201,77,148
PANTONE 6059 C,12006,194,67,137
PANTONE 606 C,12007,205,181,8
PANTONE 6060 C,12008,189,61,129
PANTONE 6061 C,12009,180,52,120
PANTONE 6062 C,12010,179,49,112
PANTONE 6063 C,12011,162,46,96
PANTONE 6064 C,12012,207,175,202
PANTONE 6065 C,12013,200,156,180
PANTONE 6066 C,12014,192,144,169
PANTONE 6067 C,12015,180,130,158
PANTONE 6068 C,12016,171,119,146
PANTONE 6069 C,12017,154,100,126
PANTONE 607 C,12018,234,229,156
PANTONE 6070 C,12019,154,100,126
PANTONE 6071 C,12020,147,120,155
PANTONE 6072 C,12021,116,83,119
PANTONE 6073 C,12022,101,69,104
PANTONE 6074 C,12023,97,64,96
PANTONE 6075 C,12024,86,56,85
PANTONE 6076 C,12025,72,43,68
PANTONE 6077 C,12026,58,41,54
PANTONE 6078 C,12027,190,148,209
PANTONE 6079 C,12028,178,126,195
PANTONE 608 C,12029,231,223,135
PANTONE 6080 C,12030,161,106,179
PANTONE 6081 C,12031,156,96,174
PANTONE 6082 C,12032,142,80,156
PANTONE 6083 C,12033,128,63,142
PANTONE 6084 C,12034,116,55,129
PANTONE 6085 C,12035,199,206,237
PANTONE 6086 C,12036,171,182,219
PANTONE 6087 C,12037,158,168,208
PANTONE 6088 C,12038,140,151,199
PANTONE 6089 C,12039,123,138,195
PANTONE 609 C,12040,231,223,122
PANTONE 6090 C,12041,106,117,174
PANTONE 6091 C,12042,82,97,157
PANTONE 6092 C,12043,139,144,200
PANTONE 6093 C,12044,129,136,196
PANTONE 6094 C,12045,118,122,185
PANTONE 6095 C,12046,109,115,182
PANTONE 6096 C,12047,92,96,167
PANTONE 6097 C,12048,75,82,155
PANTONE 6098 C,12049,64,69,142
PANTONE 6099 C,12050,140,167,223
PANTONE 610 C,12051,228,214,88
PANTONE 6100 C,12052,120,145,203
PANTONE 6101 C,12053,101,129,197
PANTONE 6102 C,12054,91,119,184
PANTONE 6103 C,12055,59,83,151
PANTONE 6104 C,12056,31,60,139
PANTONE 6105 C,12057,36,57,131
PANTONE 6106 C,12058,179,191,214
PANTONE 6107 C,12059,165,181,208
PANTONE 6108 C,12060,141,163,192
PANTONE 6109 C,12061,117,142,176
PANTONE 611 C,12062,214,200,41
PANTONE 6110 C,12063,111,137,170
PANTONE 6111 C,12064,95,122,156
PANTONE 6112 C,12065,57,93,128
PANTONE 6113 C,12066,106,136,154
PANTONE 6114 C,12067,100,128,146
PANTONE 6115 C,12068,87,116,131
PANTONE 6116 C,12069,73,104,120
PANTONE 6117 C,12070,67,96,111
PANTONE 6118 C,12071,49,70,77
PANTONE 6119 C,12072,45,62,68
PANTONE 612 C,12073,195,177,9
PANTONE 6120 C,12074,55,164,214
PANTONE 6121 C,12075,6,157,209
PANTONE 6122 C,12076,0,139,198
PANTONE 6123 C,12077,0,134,194
PANTONE 6124 C,12078,0,125,186
PANTONE 6125 C,12079,0,117,172
PANTONE 6126 C,12080,0,94,158
PANTONE 6127 C,12081,93,178,205
PANTONE 6128 C,12082,50,164,190
PANTONE 6129 C,12083,0,148,177
PANTONE 613 C,12084,179,157,11
PANTONE 6130 C,12085,0,134,160
PANTONE 6131 C,12086,2,115,140
PANTONE 6132 C,12087,0,123,155
PANTONE 6133 C,12088,0,101,130
PANTONE 6134 C,12089,126,203,213
PANTONE 6135 C,12090,113,186,195
PANTONE 6136 C,12091,71,167,173
PANTONE 6137 C,12092,51,157,160
PANTONE 6138 C,12093,0,145,149
PANTONE 6139 C,12094,0,134,137
PANTONE 614 C,12095,219,214,155
PANTONE 6140 C,12096,0,125,127
PANTONE 6141 C,12097,131,207,199
PANTONE 6142 C,12098,98,193,175
PANTONE 6143 C,12099,25,175,148
PANTONE 6144 C,12100,0,165,130
PANTONE 6145 C,12101,0,150,112
PANTONE 6146 C,12102,0,139,97
PANTONE 6147 C,12103,0,128,84
PANTONE 6148 C,12104,210,226,239
PANTONE 6149 C,12105,188,214,222
PANTONE 615 C,12106,215,208,144
PANTONE 6150 C,12107,160,201,201
PANTONE 6151 C,12108,126,185,184
PANTONE 6152 C,12109,95,162,149
PANTONE 6153 C,12110,69,139,120
PANTONE 6154 C,12111,34,120,92
PANTONE 6155 C,12112,110,166,151
PANTONE 6156 C,12113,90,152,130
PANTONE 6157 C,12114,70,140,113
PANTONE 6158 C,12115,49,128,97
PANTONE 6159 C,12116,13,113,86
PANTONE 616 C,12117,206,200,134
